duration,amount,age,installment_rate,present_residence,number_credits,people_liable,status,credit_history,purpose,savings,employment_duration,other_debtors,property,other_installment_plans,housing,job,telephone,__row_id,__y,__gender,__split
6,1352,23,1,2,1,1,status_0,credit_history_2,purpose_1,savings_2,employment_duration_0,other_debtors_0,property_1,other_installment_plans_2,housing_0,job_0,telephone_1,47,0,0,calib
11,7228,39,1,4,2,1,status_3,credit_history_4,purpose_0,savings_0,employment_duration_2,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_1,telephone_0,48,0,1,train
12,2073,28,4,2,1,1,status_3,credit_history_2,purpose_4,savings_1,employment_duration_2,other_debtors_1,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,49,0,0,calib
24,2333,29,4,2,1,1,status_1,credit_history_3,purpose_3,savings_4,employment_duration_1,other_debtors_0,property_1,other_installment_plans_0,housing_1,job_1,telephone_0,50,0,1,train
27,5965,30,1,2,2,1,status_1,credit_history_3,purpose_1,savings_0,employment_duration_4,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_3,telephone_1,51,0,1,calib
12,1262,25,3,2,1,1,status_3,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,52,0,1,calib
18,3378,31,2,1,1,1,status_3,credit_history_2,purpose_1,savings_4,employment_duration_2,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_1,53,0,1,train
36,2225,57,4,4,2,1,status_1,credit_history_3,purpose_0,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_0,housing_2,job_2,telephone_1,54,1,1,calib
6,783,26,1,2,1,2,status_3,credit_history_1,purpose_0,savings_4,employment_duration_2,other_debtors_2,property_0,other_installment_plans_1,housing_1,job_1,telephone_0,55,0,1,calib
12,6468,52,2,1,1,1,status_1,credit_history_2,purpose_4,savings_4,employment_duration_0,other_debtors_0,property_3,other_installment_plans_2,housing_1,job_3,telephone_1,56,1,1,test
36,9566,31,2,2,2,1,status_3,credit_history_4,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_1,housing_1,job_2,telephone_0,57,0,0,train
18,1961,23,3,2,1,1,status_2,credit_history_2,purpose_0,savings_0,employment_duration_4,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_3,telephone_0,58,0,0,train
36,6229,23,4,4,2,1,status_0,credit_history_4,purpose_3,savings_0,employment_duration_1,other_debtors_1,property_3,other_installment_plans_2,housing_0,job_1,telephone_1,59,1,0,calib
9,1391,27,2,1,1,1,status_1,credit_history_2,purpose_9,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_0,housing_1,job_2,telephone_1,60,0,1,test
15,1537,50,4,4,2,1,status_1,credit_history_4,purpose_4,savings_4,employment_duration_4,other_debtors_2,property_0,other_installment_plans_2,housing_1,job_2,telephone_1,61,0,1,train
36,1953,61,4,4,1,1,status_1,credit_history_0,purpose_9,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_2,housing_2,job_3,telephone_1,62,1,1,train
48,14421,25,2,2,1,1,status_1,credit_history_0,purpose_9,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_1,63,1,1,calib
24,3181,26,4,4,1,1,status_3,credit_history_2,purpose_4,savings_0,employment_duration_1,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_1,64,0,0,train
27,5190,48,4,4,4,2,status_3,credit_history_2,purpose_6,savings_4,employment_duration_4,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_1,65,0,1,test
12,2171,29,2,2,1,1,status_3,credit_history_2,purpose_4,savings_0,employment_duration_1,other_debtors_0,property_2,other_installment_plans_0,housing_1,job_2,telephone_0,66,0,0,train
12,1007,22,4,1,1,1,status_1,credit_history_2,purpose_0,savings_3,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,67,0,1,train
36,1819,37,4,4,1,1,status_3,credit_history_2,purpose_7,savings_0,employment_duration_2,other_debtors_0,property_3,other_installment_plans_1,housing_2,job_2,telephone_1,68,1,1,train
36,2394,25,4,4,1,1,status_3,credit_history_2,purpose_4,savings_4,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,69,0,0,train
36,8133,30,1,2,1,1,status_3,credit_history_2,purpose_1,savings_0,employment_duration_2,other_debtors_0,property_1,other_installment_plans_0,housing_1,job_2,telephone_0,70,0,0,train
7,730,46,4,2,2,1,status_3,credit_history_4,purpose_4,savings_4,employment_duration_4,other_debtors_0,property_1,other_installment_plans_2,housing_0,job_1,telephone_1,71,0,1,train
8,1164,51,3,4,2,2,status_0,credit_history_4,purpose_2,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_0,housing_2,job_3,telephone_1,72,0,1,train
42,5954,41,2,1,2,1,status_1,credit_history_4,purpose_9,savings_0,employment_duration_3,other_debtors_0,property_0,other_installment_plans_0,housing_1,job_1,telephone_0,73,0,0,train
36,1977,40,4,4,1,1,status_0,credit_history_2,purpose_7,savings_4,employment_duration_4,other_debtors_0,property_3,other_installment_plans_2,housing_1,job_3,telephone_1,74,1,1,calib
12,1526,66,4,4,2,1,status_0,credit_history_4,purpose_1,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_2,housing_2,job_3,telephone_0,75,0,1,train
42,3965,34,4,3,1,1,status_0,credit_history_2,purpose_4,savings_0,employment_duration_1,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,76,1,1,train
11,4771,51,2,4,1,1,status_1,credit_history_3,purpose_4,savings_0,employment_duration_3,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_0,77,0,1,calib
54,9436,39,2,2,1,2,status_3,credit_history_0,purpose_1,savings_4,employment_duration_2,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_1,telephone_0,78,0,1,train
30,3832,22,2,1,1,1,status_1,credit_history_2,purpose_3,savings_0,employment_duration_1,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_0,79,0,1,train
24,5943,44,1,1,2,1,status_3,credit_history_2,purpose_4,savings_4,employment_duration_1,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_1,80,1,0,calib
15,1213,47,4,3,1,1,status_3,credit_history_2,purpose_4,savings_2,employment_duration_4,other_debtors_0,property_1,other_installment_plans_1,housing_1,job_2,telephone_1,81,0,1,train
18,1568,24,3,4,1,1,status_3,credit_history_2,purpose_9,savings_1,employment_duration_2,other_debtors_0,property_1,other_installment_plans_2,housing_0,job_1,telephone_0,82,0,0,test
24,1755,58,4,4,1,1,status_0,credit_history_2,purpose_2,savings_0,employment_duration_4,other_debtors_2,property_0,other_installment_plans_2,housing_1,job_1,telephone_1,83,0,0,train
10,2315,52,3,4,1,1,status_0,credit_history_2,purpose_4,savings_0,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_1,telephone_0,84,0,1,train
12,1412,29,4,2,2,1,status_3,credit_history_4,purpose_9,savings_0,employment_duration_2,other_debtors_2,property_0,other_installment_plans_2,housing_1,job_3,telephone_1,85,0,0,calib
18,1295,27,4,1,2,1,status_1,credit_history_4,purpose_3,savings_0,employment_duration_1,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_0,86,0,0,train
36,12612,47,1,4,1,2,status_1,credit_history_2,purpose_7,savings_1,employment_duration_2,other_debtors_0,property_3,other_installment_plans_2,housing_2,job_2,telephone_1,87,1,1,train
18,2249,30,4,3,1,2,status_0,credit_history_2,purpose_0,savings_1,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_3,telephone_1,88,0,1,calib
12,1108,28,4,3,2,1,status_0,credit_history_0,purpose_6,savings_0,employment_duration_3,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,89,1,1,train
12,618,56,4,4,1,1,status_3,credit_history_4,purpose_4,savings_0,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,90,0,1,calib
12,1409,54,4,3,1,1,status_0,credit_history_4,purpose_1,savings_0,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,91,0,1,calib
12,797,33,4,3,1,2,status_3,credit_history_4,purpose_4,savings_4,employment_duration_4,other_debtors_0,property_1,other_installment_plans_0,housing_1,job_1,telephone_0,92,1,0,train
24,3617,20,4,4,2,1,status_2,credit_history_4,purpose_3,savings_4,employment_duration_4,other_debtors_1,property_3,other_installment_plans_2,housing_0,job_2,telephone_0,93,0,1,calib
12,1318,54,4,4,1,1,status_1,credit_history_2,purpose_0,savings_3,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_1,94,0,1,test
54,15945,58,3,4,1,1,status_1,credit_history_0,purpose_9,savings_0,employment_duration_1,other_debtors_0,property_3,other_installment_plans_2,housing_0,job_2,telephone_1,95,1,1,train
12,2012,61,4,2,1,1,status_3,credit_history_4,purpose_7,savings_4,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,96,0,0,calib
18,2622,34,4,4,1,1,status_1,credit_history_2,purpose_9,savings_1,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,97,0,1,test
36,2337,36,4,4,1,1,status_1,credit_history_4,purpose_4,savings_0,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,98,0,1,train
20,7057,36,3,4,2,2,status_1,credit_history_3,purpose_1,savings_4,employment_duration_3,other_debtors_0,property_1,other_installment_plans_0,housing_0,job_3,telephone_1,99,0,1,train
24,1469,41,4,4,1,1,status_3,credit_history_2,purpose_0,savings_1,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_0,job_1,telephone_0,100,0,1,train
36,2323,24,4,4,1,1,status_1,credit_history_2,purpose_4,savings_0,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_0,job_2,telephone_0,101,0,1,calib
6,932,24,3,2,1,1,status_3,credit_history_3,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,102,0,0,train
9,1919,35,4,3,1,1,status_1,credit_history_4,purpose_3,savings_0,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_0,job_2,telephone_1,103,0,1,train
12,2445,26,2,4,1,1,status_3,credit_history_2,purpose_1,savings_4,employment_duration_1,other_debtors_0,property_2,other_installment_plans_2,housing_0,job_2,telephone_1,104,0,1,test
24,11938,39,2,3,2,2,status_1,credit_history_4,purpose_2,savings_0,employment_duration_2,other_debtors_1,property_2,other_installment_plans_2,housing_1,job_3,telephone_1,105,1,1,test
18,6458,39,2,4,2,2,status_3,credit_history_1,purpose_0,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_0,housing_1,job_3,telephone_1,106,1,1,train
12,6078,32,2,2,1,1,status_1,credit_history_2,purpose_0,savings_0,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,107,0,1,calib
24,7721,30,1,2,1,1,status_0,credit_history_2,purpose_3,savings_4,employment_duration_1,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_1,108,0,0,test
14,1410,35,1,2,1,1,status_1,credit_history_2,purpose_9,savings_2,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_1,109,0,1,train
6,1449,31,1,2,2,2,status_1,credit_history_3,purpose_9,savings_1,employment_duration_4,other_debtors_0,property_2,other_installment_plans_0,housing_1,job_2,telephone_0,110,0,1,calib
15,392,23,4,4,1,1,status_2,credit_history_2,purpose_7,savings_0,employment_duration_1,other_debtors_0,property_1,other_installment_plans_2,housing_0,job_2,telephone_1,111,0,0,test
18,6260,28,3,3,1,1,status_1,credit_history_2,purpose_0,savings_0,employment_duration_3,other_debtors_0,property_0,other_installment_plans_2,housing_0,job_1,telephone_0,112,0,1,train
36,7855,25,4,2,2,1,status_3,credit_history_4,purpose_0,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_1,housing_1,job_2,telephone_1,113,1,0,test
12,1680,35,3,1,1,1,status_0,credit_history_2,purpose_4,savings_2,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,114,0,1,train
48,3578,47,4,1,1,1,status_3,credit_history_4,purpose_4,savings_4,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_1,115,0,1,train
42,7174,30,4,3,1,1,status_0,credit_history_2,purpose_4,savings_4,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_3,telephone_1,116,1,0,train
10,2132,27,2,3,2,1,status_0,credit_history_4,purpose_3,savings_4,employment_duration_1,other_debtors_1,property_0,other_installment_plans_2,housing_0,job_2,telephone_0,117,0,0,train
33,4281,23,1,4,2,1,status_0,credit_history_4,purpose_3,savings_2,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,118,1,0,train
12,2366,36,3,3,1,1,status_1,credit_history_4,purpose_0,savings_2,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_3,telephone_1,119,0,1,train
21,1835,25,3,2,2,1,status_0,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_1,120,1,0,test
24,3868,41,4,2,2,1,status_3,credit_history_4,purpose_1,savings_0,employment_duration_4,other_debtors_0,property_2,other_installment_plans_2,housing_0,job_3,telephone_1,121,0,0,train
12,1768,24,3,2,1,1,status_3,credit_history_2,purpose_3,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_0,job_1,telephone_0,122,0,1,train
10,781,63,4,4,2,1,status_2,credit_history_4,purpose_0,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_2,housing_2,job_2,telephone_1,123,0,1,calib
18,1924,27,4,3,1,1,status_1,credit_history_2,purpose_3,savings_4,employment_duration_1,other_debtors_0,property_0,other_installment_plans_2,housing_0,job_2,telephone_0,124,1,0,calib
12,2121,30,4,2,2,1,status_0,credit_history_4,purpose_0,savings_0,employment_duration_2,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_0,125,0,1,train
12,701,40,4,2,1,1,status_0,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_1,telephone_0,126,0,1,calib
12,639,30,4,2,1,1,status_1,credit_history_2,purpose_6,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,127,1,1,train
12,1860,34,4,2,2,1,status_1,credit_history_4,purpose_1,savings_0,employment_duration_0,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_3,telephone_1,128,0,1,train
12,3499,29,3,2,2,1,status_0,credit_history_4,purpose_0,savings_0,employment_duration_2,other_debtors_1,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,129,1,0,train
48,8487,24,1,2,1,1,status_1,credit_history_2,purpose_0,savings_4,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,130,0,0,calib
36,6887,29,4,3,1,1,status_0,credit_history_3,purpose_7,savings_0,employment_duration_2,other_debtors_0,property_1,other_installment_plans_1,housing_1,job_2,telephone_1,131,1,1,train
15,2708,27,2,3,2,1,status_3,credit_history_2,purpose_3,savings_0,employment_duration_1,other_debtors_0,property_1,other_installment_plans_0,housing_1,job_1,telephone_0,132,0,1,train
18,1984,47,4,4,2,1,status_3,credit_history_2,purpose_3,savings_0,employment_duration_2,other_debtors_0,property_3,other_installment_plans_0,housing_2,job_2,telephone_0,133,0,1,calib
60,10144,21,2,4,1,1,status_3,credit_history_2,purpose_4,savings_1,employment_duration_3,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_1,134,0,0,train
12,1240,38,4,2,2,1,status_3,credit_history_4,purpose_4,savings_4,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_1,135,0,0,train
27,8613,27,2,2,2,1,status_3,credit_history_3,purpose_1,savings_3,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,136,0,1,test
12,766,66,4,3,1,1,status_1,credit_history_2,purpose_4,savings_2,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_1,telephone_0,137,1,1,test
15,2728,35,4,2,3,1,status_1,credit_history_4,purpose_4,savings_4,employment_duration_3,other_debtors_2,property_0,other_installment_plans_0,housing_1,job_2,telephone_1,138,0,1,train
12,1881,44,2,2,1,1,status_2,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_0,job_1,telephone_1,139,0,0,train
6,709,27,2,2,1,1,status_2,credit_history_2,purpose_0,savings_3,employment_duration_1,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_0,telephone_0,140,0,1,train
36,4795,30,4,1,1,1,status_1,credit_history_2,purpose_4,savings_0,employment_duration_1,other_debtors_0,property_3,other_installment_plans_2,housing_1,job_3,telephone_1,141,0,0,train
27,3416,27,3,2,1,1,status_0,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_3,telephone_0,142,0,1,train
18,2462,22,2,2,1,1,status_0,credit_history_2,purpose_3,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,143,1,1,train
21,2288,23,4,4,1,1,status_3,credit_history_4,purpose_3,savings_0,employment_duration_1,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_1,144,0,0,train
48,3566,30,4,2,1,1,status_1,credit_history_1,purpose_9,savings_1,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,145,0,1,train
6,860,39,1,4,2,1,status_0,credit_history_4,purpose_0,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_2,housing_1,job_2,telephone_1,146,0,0,train
12,682,51,4,3,2,1,status_3,credit_history_4,purpose_0,savings_1,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_1,147,0,0,train
36,5371,28,3,2,2,1,status_0,credit_history_4,purpose_3,savings_0,employment_duration_2,other_debtors_2,property_1,other_installment_plans_2,housing_1,job_2,telephone_0,148,0,1,train
18,1582,46,4,4,2,1,status_3,credit_history_4,purpose_4,savings_3,employment_duration_4,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,149,0,1,train
6,1346,42,2,4,1,2,status_3,credit_history_2,purpose_4,savings_1,employment_duration_4,other_debtors_0,property_3,other_installment_plans_0,housing_2,job_2,telephone_1,150,0,1,train
10,1924,38,1,4,1,1,status_3,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_1,151,0,1,train
36,5848,24,4,1,1,1,status_2,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,152,0,1,train
